name,split,has_defect,image_path,json_path
wall_defect_0001,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0001.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0001.json
wall_defect_0002,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0002.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0002.json
wall_defect_0003,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0003.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0003.json
wall_defect_0004,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0004.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0004.json
wall_defect_0005,val,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0005.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0005.json
wall_defect_0006,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0006.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0006.json
wall_defect_0007,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0007.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0007.json
wall_defect_0008,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0008.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0008.json
wall_defect_0009,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0009.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0009.json
wall_defect_0010,val,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0010.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0010.json
wall_defect_0011,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0011.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0011.json
wall_defect_0012,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0012.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0012.json
wall_defect_0013,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0013.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0013.json
wall_defect_0014,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0014.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0014.json
wall_defect_0015,test,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0015.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0015.json
wall_defect_0016,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0016.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0016.json
wall_defect_0017,test,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0017.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0017.json
wall_defect_0018,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0018.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0018.json
wall_defect_0019,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0019.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0019.json
wall_defect_0020,val,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0020.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0020.json
wall_defect_0021,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0021.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0021.json
wall_defect_0022,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0022.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0022.json
wall_defect_0023,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0023.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0023.json
wall_defect_0024,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0024.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0024.json
wall_defect_0025,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0025.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0025.json
wall_defect_0026,test,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0026.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0026.json
wall_defect_0027,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0027.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0027.json
wall_defect_0028,test,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0028.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0028.json
wall_defect_0029,val,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0029.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0029.json
wall_defect_0030,val,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0030.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0030.json
wall_defect_0031,test,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0031.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0031.json
wall_defect_0032,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0032.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0032.json
wall_defect_0033,test,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0033.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0033.json
wall_defect_0034,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0034.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0034.json
wall_defect_0035,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0035.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0035.json
wall_defect_0036,val,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0036.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0036.json
wall_defect_0037,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0037.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0037.json
wall_defect_0038,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0038.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0038.json
wall_defect_0039,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0039.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0039.json
wall_defect_0040,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0040.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0040.json
wall_defect_0041,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0041.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0041.json
wall_defect_0042,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0042.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0042.json
wall_defect_0043,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0043.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0043.json
wall_defect_0044,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0044.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0044.json
wall_defect_0045,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0045.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0045.json
wall_defect_0046,val,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0046.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0046.json
wall_defect_0047,val,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0047.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0047.json
wall_defect_0048,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0048.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0048.json
wall_defect_0049,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0049.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0049.json
wall_defect_0050,test,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0050.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0050.json
wall_defect_0051,val,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0051.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0051.json
wall_defect_0052,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0052.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0052.json
wall_defect_0053,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0053.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0053.json
wall_defect_0054,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0054.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0054.json
wall_defect_0055,train,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0055.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0055.json
wall_defect_0056,val,1,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0056.jpg,D:\桌面\机器视觉\ultraseg_Wall defects\data\Wall defects\wall_defect_0056.json
